file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
ALA-Al003-3991431.FASTQ.gz	FASTQ	DNA	1528097	95020155	15	62.2	126
ALA-Al272-3991284.FASTQ.gz	FASTQ	DNA	1500452	95372494	15	63.6	126
ALA-Al274-3991285.FASTQ.gz	FASTQ	DNA	1352586	85763535	15	63.4	124
ALA-Al275-3991286.FASTQ.gz	FASTQ	DNA	1490395	86866618	15	58.3	124
ALA-Al277-3991287.FASTQ.gz	FASTQ	DNA	1377899	85069573	15	61.7	124
ALA-Al278-3991288.FASTQ.gz	FASTQ	DNA	1376417	88004000	15	63.9	124
ALA-Al279-3991289.FASTQ.gz	FASTQ	DNA	1484727	85714070	15	57.7	124
ALA-Al280-3991290.FASTQ.gz	FASTQ	DNA	1498013	86958447	15	58.0	124
ALA-Al281-3991291.FASTQ.gz	FASTQ	DNA	1510134	90544087	15	60.0	125
ALA-Al282-3991292.FASTQ.gz	FASTQ	DNA	1453282	86069752	15	59.2	125
ALA-Al283-3991293.FASTQ.gz	FASTQ	DNA	1343630	83351406	15	62.0	126
ALA-Al285-3991294.FASTQ.gz	FASTQ	DNA	1481820	89587830	15	60.5	124
ALA-Al286-3991295.FASTQ.gz	FASTQ	DNA	1618814	92682838	15	57.3	124
ALA-Al287-3991296.FASTQ.gz	FASTQ	DNA	1440874	85397799	15	59.3	126
ALA-Al288-3991297.FASTQ.gz	FASTQ	DNA	1422535	82545616	15	58.0	124
ALA-Al290-3991298.FASTQ.gz	FASTQ	DNA	1492293	93138410	15	62.4	124
ALA-Al291-3991299.FASTQ.gz	FASTQ	DNA	1638930	89772926	15	54.8	125
ALA-Al292-3991300.FASTQ.gz	FASTQ	DNA	1582358	94794913	15	59.9	124
ALA-Al293-3991301.FASTQ.gz	FASTQ	DNA	1640676	87516079	15	53.3	125
ALA-Al295-3991302.FASTQ.gz	FASTQ	DNA	1577949	89241102	15	56.6	124
ALA-Al296-3991303.FASTQ.gz	FASTQ	DNA	1523613	87938040	15	57.7	124
ALA-Al297-3991304.FASTQ.gz	FASTQ	DNA	1635012	92412405	15	56.5	126
ALA-Al299-3991305.FASTQ.gz	FASTQ	DNA	1409703	88594005	15	62.8	126
ALA-Al300-3991306.FASTQ.gz	FASTQ	DNA	1622763	80197080	15	49.4	124
ALA-Al301-3991307.FASTQ.gz	FASTQ	DNA	1439250	90785880	15	63.1	124
ALA-Al302-3991308.FASTQ.gz	FASTQ	DNA	1508427	86592346	15	57.4	125
ALA-Al303-3991309.FASTQ.gz	FASTQ	DNA	1526385	92658553	15	60.7	126
ALA-Al304-3991310.FASTQ.gz	FASTQ	DNA	1503893	85570251	15	56.9	126
ALA-Al305-3991311.FASTQ.gz	FASTQ	DNA	1582291	88651699	15	56.0	128
ALA-Al306-3991312.FASTQ.gz	FASTQ	DNA	1412715	90488118	15	64.1	124
ALA-Al307-3991313.FASTQ.gz	FASTQ	DNA	1515198	91353714	15	60.3	124
ALA-Al308-3991314.FASTQ.gz	FASTQ	DNA	1458238	92316139	15	63.3	126
ALA-Al318-3991315.FASTQ.gz	FASTQ	DNA	1535547	85812164	15	55.9	124
ALA-Al319-3991316.FASTQ.gz	FASTQ	DNA	1586983	94131594	15	59.3	128
ALA-Al320-3991317.FASTQ.gz	FASTQ	DNA	1566286	92978811	15	59.4	126
ALA-Al321-3991414.FASTQ.gz	FASTQ	DNA	1594329	87710600	15	55.0	124
ALA-Al324-3991415.FASTQ.gz	FASTQ	DNA	1392742	91467839	15	65.7	124
ALA-Al325-3991416.FASTQ.gz	FASTQ	DNA	1708329	89645341	15	52.5	124
ALA-Al326-3991417.FASTQ.gz	FASTQ	DNA	1604942	90226495	15	56.2	124
ALA-Al327-3991418.FASTQ.gz	FASTQ	DNA	1541208	85581547	15	55.5	124
ALA-Al329-3991419.FASTQ.gz	FASTQ	DNA	1504874	85453863	15	56.8	124
ALA-Al331-3991420.FASTQ.gz	FASTQ	DNA	1397218	91068597	15	65.2	126
ALA-Al333-3991421.FASTQ.gz	FASTQ	DNA	1400304	90951370	15	65.0	126
ALA-Al336-3991422.FASTQ.gz	FASTQ	DNA	1529300	87681006	15	57.3	124
ALA-Al338-3991423.FASTQ.gz	FASTQ	DNA	1516993	88481047	15	58.3	124
ALA-Al342-3991424.FASTQ.gz	FASTQ	DNA	1683061	98387731	15	58.5	128
ALA-Al344-3991425.FASTQ.gz	FASTQ	DNA	1525180	92789895	15	60.8	127
ALA-Al346-3991426.FASTQ.gz	FASTQ	DNA	1577917	93238819	15	59.1	126
ALA-Al376-3991427.FASTQ.gz	FASTQ	DNA	1305157	84617157	15	64.8	124
ALA-Al377-3991428.FASTQ.gz	FASTQ	DNA	1679620	88159609	15	52.5	128
ALA-Al378-3991429.FASTQ.gz	FASTQ	DNA	1530545	89015923	15	58.2	124
ALA-Al379-3991430.FASTQ.gz	FASTQ	DNA	1602747	95526540	15	59.6	126
ALA-AL401-3991432.FASTQ.gz	FASTQ	DNA	1487777	92838445	15	62.4	126
ALA-AL402-3991433.FASTQ.gz	FASTQ	DNA	1469147	93628525	15	63.7	125
ALA-AL403-3991434.FASTQ.gz	FASTQ	DNA	1368121	88690813	15	64.8	125
ALA-AL404-3991435.FASTQ.gz	FASTQ	DNA	1309487	86374532	15	66.0	128
ALA-AL405-3991436.FASTQ.gz	FASTQ	DNA	1502182	85572321	15	57.0	124
ALA-AL406-3991437.FASTQ.gz	FASTQ	DNA	1377072	86815057	15	63.0	126
ALA-AL407-3991438.FASTQ.gz	FASTQ	DNA	1533610	92454416	15	60.3	126
ALA-AL408-3991439.FASTQ.gz	FASTQ	DNA	1415995	90070207	15	63.6	124
ALA-AL409-3991440.FASTQ.gz	FASTQ	DNA	1433078	93054166	15	64.9	128
ALA-AL410-3991441.FASTQ.gz	FASTQ	DNA	1444187	94984803	15	65.8	124
ALA-AL411-3991442.FASTQ.gz	FASTQ	DNA	1291368	86197458	15	66.7	124
ALA-AL412-3991443.FASTQ.gz	FASTQ	DNA	1454045	89690359	15	61.7	124
ALA-AL413-3991444.FASTQ.gz	FASTQ	DNA	1372684	90113186	15	65.6	126
ALA-AL414-3991445.FASTQ.gz	FASTQ	DNA	1411620	89680318	15	63.5	124
ALA-AL415-3991446.FASTQ.gz	FASTQ	DNA	1404049	93110623	15	66.3	126
ALA-AL416-3991447.FASTQ.gz	FASTQ	DNA	1171213	75379716	15	64.4	128
ALA-AL417-3991448.FASTQ.gz	FASTQ	DNA	1695500	97484190	15	57.5	124
ALA-AL418-3991449.FASTQ.gz	FASTQ	DNA	1530763	87104926	15	56.9	126
ALA-AL419-3991450.FASTQ.gz	FASTQ	DNA	1711641	90391659	15	52.8	128
ALA-AL420-3991451.FASTQ.gz	FASTQ	DNA	1500650	91034444	15	60.7	126
ALA-AL422-3991452.FASTQ.gz	FASTQ	DNA	1572095	91424730	15	58.2	128
ALA-AL423-3991453.FASTQ.gz	FASTQ	DNA	1506733	84913272	15	56.4	124
ALA-AL424-4013486.FASTQ.gz	FASTQ	DNA	2318855	133313292	15	57.5	125
ALA-AL425-3991454.FASTQ.gz	FASTQ	DNA	1564449	87141315	15	55.7	124
ALA-Al4-2562181.FASTQ.gz	FASTQ	DNA	1366188	188533944	138	138.0	138
ALA-AL426-3991455.FASTQ.gz	FASTQ	DNA	1424350	90608371	15	63.6	128
ALA-AL427-3991456.FASTQ.gz	FASTQ	DNA	1400330	86330095	15	61.6	124
ALA-AL429-3991457.FASTQ.gz	FASTQ	DNA	1583985	93514935	15	59.0	124
ALA-AL430-3991458.FASTQ.gz	FASTQ	DNA	1705696	96603666	15	56.6	128
ALA-AL431-3991459.FASTQ.gz	FASTQ	DNA	1464355	89089817	15	60.8	125
ALA-AL432-3991460.FASTQ.gz	FASTQ	DNA	1537799	90946518	15	59.1	126
ALA-AL433-3991461.FASTQ.gz	FASTQ	DNA	1417206	87760772	15	61.9	124
ALA-AL434-3991462.FASTQ.gz	FASTQ	DNA	1168041	68471622	15	58.6	124
ALA-AL435-3991463.FASTQ.gz	FASTQ	DNA	1580264	85644076	15	54.2	124
ALA-AL436-3991464.FASTQ.gz	FASTQ	DNA	1758962	91640455	15	52.1	128
ALA-AL437-3991465.FASTQ.gz	FASTQ	DNA	1797491	86767628	15	48.3	126
ALA-AL439-3991466.FASTQ.gz	FASTQ	DNA	1659793	84456391	15	50.9	124
ALA-AL440-3991467.FASTQ.gz	FASTQ	DNA	1537479	71910794	15	46.8	124
ALA-AL441-3991468.FASTQ.gz	FASTQ	DNA	1724463	87069688	15	50.5	126
ALA-AL442-3991469.FASTQ.gz	FASTQ	DNA	1476608	89249077	15	60.4	124
ALA-HybJ01-2892539.FASTQ.gz	FASTQ	DNA	1448723	199923774	138	138.0	138
ALA-HybJ03-2892503.FASTQ.gz	FASTQ	DNA	1458168	201227184	138	138.0	138
ALA-KLS0327-2892561.FASTQ.gz	FASTQ	DNA	1376652	189977976	138	138.0	138
ALA-KLS0339-2571096.FASTQ.gz	FASTQ	DNA	753062	103922556	138	138.0	138
ALA-KLS0564-R174540-2892378.FASTQ.gz	FASTQ	DNA	1436959	198300342	138	138.0	138
ALA-KLS0564-R174540-2892568.FASTQ.gz	FASTQ	DNA	908522	125376036	138	138.0	138
ALA-KLS0793-2892513.FASTQ.gz	FASTQ	DNA	1556315	214771470	138	138.0	138
ALA-KLS0796-2892514.FASTQ.gz	FASTQ	DNA	1579256	217937328	138	138.0	138
ALA-KLS0797-2892471.FASTQ.gz	FASTQ	DNA	1361080	187829040	138	138.0	138
ALA-KLS0857-2892463.FASTQ.gz	FASTQ	DNA	1415160	195292080	138	138.0	138
ALA-KLS0871-2892523.FASTQ.gz	FASTQ	DNA	1497578	206665764	138	138.0	138
ALA-KLS0872-2892526.FASTQ.gz	FASTQ	DNA	1407004	194166552	138	138.0	138
ALA-KLS1121-2892381.FASTQ.gz	FASTQ	DNA	1484952	204923376	138	138.0	138
ALA-KLS1121-2892571.FASTQ.gz	FASTQ	DNA	1099266	151698708	138	138.0	138
ALA-KLS1140-2892558.FASTQ.gz	FASTQ	DNA	1336014	184369932	138	138.0	138
ALA-KLS1161-2892441.FASTQ.gz	FASTQ	DNA	1360761	187785018	138	138.0	138
ALA-KLS1162-2892512.FASTQ.gz	FASTQ	DNA	1517706	209443428	138	138.0	138
ALA-KLS1163-2892427.FASTQ.gz	FASTQ	DNA	1474455	203474790	138	138.0	138
ALA-KLS1165-2892485.FASTQ.gz	FASTQ	DNA	1403104	193628352	138	138.0	138
ALA-KLS1165-2892580.FASTQ.gz	FASTQ	DNA	1203061	166022418	138	138.0	138
ALA-KLS1165-2894771.FASTQ.gz	FASTQ	DNA	1158478	159869964	138	138.0	138
ALA-KLS1166-2892541.FASTQ.gz	FASTQ	DNA	1390397	191874786	138	138.0	138
ALA-KLS1167-2892484.FASTQ.gz	FASTQ	DNA	1321949	182428962	138	138.0	138
ALA-KLS1167-2892579.FASTQ.gz	FASTQ	DNA	1250080	172511040	138	138.0	138
ALA-KLS1168-2892413.FASTQ.gz	FASTQ	DNA	1598087	220536006	138	138.0	138
ALA-KLS1169-2892448.FASTQ.gz	FASTQ	DNA	1414967	195265446	138	138.0	138
ALA-KLS1170-2892511.FASTQ.gz	FASTQ	DNA	1399095	193075110	138	138.0	138
ALA-KLS1205-3593357.FASTQ.gz	FASTQ	DNA	2258663	182587936	15	80.8	126
ALA-KLS1205-3593429.FASTQ.gz	FASTQ	DNA	2049068	167399028	15	81.7	124
ALA-KLS1363-3593317.FASTQ.gz	FASTQ	DNA	2183625	178572471	15	81.8	126
ALA-KLS1366-3593364.FASTQ.gz	FASTQ	DNA	2163087	175971215	15	81.4	126
ALA-KLS1366-3593436.FASTQ.gz	FASTQ	DNA	1994003	167427668	15	84.0	126
ALA-KLS1373-3593328.FASTQ.gz	FASTQ	DNA	2242814	185277524	15	82.6	126
ALA-KLS1387-3593387.FASTQ.gz	FASTQ	DNA	2049644	178351351	15	87.0	124
ALA-KLS1413-3593365.FASTQ.gz	FASTQ	DNA	2252538	181025855	15	80.4	126
ALA-KLS1413-3593437.FASTQ.gz	FASTQ	DNA	2194652	183180669	15	83.5	128
ALA-KLS1415-3593359.FASTQ.gz	FASTQ	DNA	2257404	182278648	15	80.7	124
ALA-KLS1415-3593431.FASTQ.gz	FASTQ	DNA	1977118	168088276	15	85.0	124
ALA-KLS1444-3593398.FASTQ.gz	FASTQ	DNA	2269754	174337994	15	76.8	125
ALA-KLS1448-3593341.FASTQ.gz	FASTQ	DNA	2249623	181830560	15	80.8	125
ALA-KLS1452-3593342.FASTQ.gz	FASTQ	DNA	2233786	182951126	15	81.9	128
ALA-KLS1453-3593336.FASTQ.gz	FASTQ	DNA	2155893	178491926	15	82.8	124
ALA-KLS1467-3593390.FASTQ.gz	FASTQ	DNA	2234645	183395903	15	82.1	124
ALA-KLS1474-3593384.FASTQ.gz	FASTQ	DNA	2241305	181027556	15	80.8	124
ALA-KLS1479-3593389.FASTQ.gz	FASTQ	DNA	2163691	175066268	15	80.9	125
ALA-KLS1492-3593391.FASTQ.gz	FASTQ	DNA	2139157	171767350	15	80.3	124
ALA-KLS1526-3593366.FASTQ.gz	FASTQ	DNA	2274617	180858686	15	79.5	124
ALA-KLS1526-3593438.FASTQ.gz	FASTQ	DNA	2174985	181857210	15	83.6	128
ALA-KLS1548-3593373.FASTQ.gz	FASTQ	DNA	2132975	172677610	15	81.0	126
ALA-KLS1548-3593445.FASTQ.gz	FASTQ	DNA	2047643	170758263	15	83.4	126
ALA-KLS1549-3593354.FASTQ.gz	FASTQ	DNA	2297352	188394907	15	82.0	128
ALA-KLS1549-3593426.FASTQ.gz	FASTQ	DNA	2133508	174754699	15	81.9	124
ALA-KLS1555-3593323.FASTQ.gz	FASTQ	DNA	2175354	189038350	15	86.9	127
ALA-KLS1661-4013402.FASTQ.gz	FASTQ	DNA	2107411	159676418	15	75.8	124
ALA-KLS1663-4013404.FASTQ.gz	FASTQ	DNA	1964428	155256286	15	79.0	124
ALA-KLS1664-4013405.FASTQ.gz	FASTQ	DNA	2056689	154915199	15	75.3	124
ALA-KLS1682-4013423.FASTQ.gz	FASTQ	DNA	2151878	160616135	15	74.6	125
ALA-KLS1690-4013430.FASTQ.gz	FASTQ	DNA	2014498	155691552	15	77.3	128
ALA-MAGNT-R36654-2562269.FASTQ.gz	FASTQ	DNA	865531	119443278	138	138.0	138
ALA-MAGNT-R36654-2571090.FASTQ.gz	FASTQ	DNA	1100234	151832292	138	138.0	138
ALA-MAGNT-R36654-2583996.FASTQ.gz	FASTQ	DNA	1241901	171382338	138	138.0	138
ALA-NC_2019_217-2117818.FASTQ.gz	FASTQ	DNA	1081714	89782262	83	83.0	83
ALA-NC_2019_247-2117816.FASTQ.gz	FASTQ	DNA	1168232	96963256	83	83.0	83
ALA-NC_Jan2019_208-2562133.FASTQ.gz	FASTQ	DNA	1401320	193382160	138	138.0	138
ALA-NC_Jan2019_213-2892489.FASTQ.gz	FASTQ	DNA	1528518	210935484	138	138.0	138
ALA-NC_Jan2019_213-2892584.FASTQ.gz	FASTQ	DNA	938671	129536598	138	138.0	138
ALA-NC_Jan2019_213-2894774.FASTQ.gz	FASTQ	DNA	1201672	165830736	138	138.0	138
ALA-NC_Jan2019_217-2892446.FASTQ.gz	FASTQ	DNA	1529786	211110468	138	138.0	138
ALA-NC_Jan2019_227-2892537.FASTQ.gz	FASTQ	DNA	1370293	189100434	138	138.0	138
ALA-NC_Jan2019_247-2892476.FASTQ.gz	FASTQ	DNA	1481093	204390834	138	138.0	138
ALA-NC_Jan2019_253-3446972.FASTQ.gz	FASTQ	DNA	1183097	79363836	15	67.1	124
ALA-NC_Jan2019_269-3446978.FASTQ.gz	FASTQ	DNA	1411543	92986135	15	65.9	125
ALA-NC_Jan2019_271-2892518.FASTQ.gz	FASTQ	DNA	1421764	196203432	138	138.0	138
ALA-NC_Jan2019_275-3446981.FASTQ.gz	FASTQ	DNA	1417360	98504832	15	69.5	126
ALA-NC_Jan2019_282-2562143.FASTQ.gz	FASTQ	DNA	1306854	180345852	138	138.0	138
ALA-NC_Jan2019_282-2583999.FASTQ.gz	FASTQ	DNA	1107616	152851008	138	138.0	138
ALA-R29880-2562259.FASTQ.gz	FASTQ	DNA	1233098	170167524	138	138.0	138
ALA-R29880-2892521.FASTQ.gz	FASTQ	DNA	1574892	217335096	138	138.0	138
ALA-R36967-2892426.FASTQ.gz	FASTQ	DNA	1139847	157298886	138	138.0	138
ALA-R36974-2892437.FASTQ.gz	FASTQ	DNA	1173666	161965908	138	138.0	138
ALA-R37003-2892459.FASTQ.gz	FASTQ	DNA	1234786	170400468	138	138.0	138
ALA-R37010-2892460.FASTQ.gz	FASTQ	DNA	1488598	205426524	138	138.0	138
ALA-R37025-2892461.FASTQ.gz	FASTQ	DNA	1440196	198747048	138	138.0	138
ALA-R37027-2892458.FASTQ.gz	FASTQ	DNA	1241749	171361362	138	138.0	138
ALA-R37032-2892401.FASTQ.gz	FASTQ	DNA	1460932	201608616	138	138.0	138
ALA-R37034-2892486.FASTQ.gz	FASTQ	DNA	1332458	183879204	138	138.0	138
ALA-R37101-2892544.FASTQ.gz	FASTQ	DNA	1573481	217140378	138	138.0	138
ALA-R37113-2892490.FASTQ.gz	FASTQ	DNA	1607243	221799534	138	138.0	138
ALA-R37116-2892470.FASTQ.gz	FASTQ	DNA	1416227	195439326	138	138.0	138
ALA-R37122-2892464.FASTQ.gz	FASTQ	DNA	1350112	186315456	138	138.0	138
ALA-R37128-2892424.FASTQ.gz	FASTQ	DNA	1319541	182096658	138	138.0	138
ALA-R37140-2892462.FASTQ.gz	FASTQ	DNA	1435242	198063396	138	138.0	138
ALA-SS170808-01-2562218.FASTQ.gz	FASTQ	DNA	1439446	198643548	138	138.0	138
ALA-SS170808-06-2892529.FASTQ.gz	FASTQ	DNA	1522612	210120456	138	138.0	138
ALA-SS170809-01-2892375.FASTQ.gz	FASTQ	DNA	1384732	191093016	138	138.0	138
ALA-SS170809-01-2892565.FASTQ.gz	FASTQ	DNA	1123123	154990974	138	138.0	138
ALA-SS170809-03-2892475.FASTQ.gz	FASTQ	DNA	1446223	199578774	138	138.0	138
ALA-SS170810-01-2892386.FASTQ.gz	FASTQ	DNA	1390089	191832282	138	138.0	138
ALA-SS170810-01-2892576.FASTQ.gz	FASTQ	DNA	1182585	163196730	138	138.0	138
ALA-SS170813-01-2892422.FASTQ.gz	FASTQ	DNA	1437326	198350988	138	138.0	138
ALA-SS170815-01-2892435.FASTQ.gz	FASTQ	DNA	1348796	186133848	138	138.0	138
ALA-SS170815-03-2892473.FASTQ.gz	FASTQ	DNA	1513456	208856928	138	138.0	138
ALA-SS170815-04-2892440.FASTQ.gz	FASTQ	DNA	1444808	199383504	138	138.0	138
ALA-SS170816-01-2562206.FASTQ.gz	FASTQ	DNA	1345731	185710878	138	138.0	138
ALA-SS170816-01-2584000.FASTQ.gz	FASTQ	DNA	1277042	176231796	138	138.0	138
ALA-SS170816-01-2892493.FASTQ.gz	FASTQ	DNA	1485738	205031844	138	138.0	138
ALA-SS170816-01-2892588.FASTQ.gz	FASTQ	DNA	1096755	151352190	138	138.0	138
ALA-SS170820-01-2562217.FASTQ.gz	FASTQ	DNA	978377	135016026	138	138.0	138
ALA-SS170820-05-2892447.FASTQ.gz	FASTQ	DNA	1167675	161139150	138	138.0	138
ALA-SS170822-01-2892494.FASTQ.gz	FASTQ	DNA	1464887	202154406	138	138.0	138
ALA-SS170822-01-2892589.FASTQ.gz	FASTQ	DNA	1269916	175248408	138	138.0	138
ALA-SS170822-02-2892495.FASTQ.gz	FASTQ	DNA	1468227	202615326	138	138.0	138
ALA-SS170822-02-2892590.FASTQ.gz	FASTQ	DNA	1141734	157559292	138	138.0	138
ALA-SS170822-02-2894775.FASTQ.gz	FASTQ	DNA	912524	125928312	138	138.0	138
ALA-SS170822-03-2892528.FASTQ.gz	FASTQ	DNA	1607257	221801466	138	138.0	138
ALA-SS170822-03-2894754.FASTQ.gz	FASTQ	DNA	1321447	182359686	138	138.0	138
ALA-SS171011-02-2892425.FASTQ.gz	FASTQ	DNA	1288338	177790644	138	138.0	138
ALA-SS171011-03-2892496.FASTQ.gz	FASTQ	DNA	1408155	194325390	138	138.0	138
ALA-SS171011-03-2892591.FASTQ.gz	FASTQ	DNA	1191489	164425482	138	138.0	138
ALA-SS171018-02-2892517.FASTQ.gz	FASTQ	DNA	1453366	200564508	138	138.0	138
ALA-SS171025-01-2892506.FASTQ.gz	FASTQ	DNA	1264821	174545298	138	138.0	138
ALA-SS171025-02-2892393.FASTQ.gz	FASTQ	DNA	1339784	184890192	138	138.0	138
ALA-SS171104-01-2892432.FASTQ.gz	FASTQ	DNA	1335633	184317354	138	138.0	138
ALA-SS171105-01-2892472.FASTQ.gz	FASTQ	DNA	1440653	198810114	138	138.0	138
ALA-SS171106-02-2892479.FASTQ.gz	FASTQ	DNA	1353398	186768924	138	138.0	138
ALA-SS171106-03-2892404.FASTQ.gz	FASTQ	DNA	1421054	196105452	138	138.0	138
ALA-UAE275-2892543.FASTQ.gz	FASTQ	DNA	1443331	199179678	138	138.0	138
ALA-VU121-2562122.FASTQ.gz	FASTQ	DNA	1566481	216174378	138	138.0	138
ALA-VU121-2584014.FASTQ.gz	FASTQ	DNA	1278871	176484198	138	138.0	138
ALA-VU130-2562201.FASTQ.gz	FASTQ	DNA	1159850	160059300	138	138.0	138
ALA-VU130-2571062.FASTQ.gz	FASTQ	DNA	757326	104510988	138	138.0	138
ALA-VU132-2562114.FASTQ.gz	FASTQ	DNA	1439384	198634992	138	138.0	138
ALA-VU15-2892510.FASTQ.gz	FASTQ	DNA	1424417	196569546	138	138.0	138
ALA-VU20-2892394.FASTQ.gz	FASTQ	DNA	1273012	175675656	138	138.0	138
ALA-VU21-2892380.FASTQ.gz	FASTQ	DNA	1367206	188674428	138	138.0	138
ALA-VU21-2892570.FASTQ.gz	FASTQ	DNA	1176464	162352032	138	138.0	138
ALA-VU33-2892383.FASTQ.gz	FASTQ	DNA	1321249	182332362	138	138.0	138
ALA-VU33-2892573.FASTQ.gz	FASTQ	DNA	1119872	154542336	138	138.0	138
ALA-VU37-2892482.FASTQ.gz	FASTQ	DNA	1575258	217385604	138	138.0	138
ALA-VU47-2892477.FASTQ.gz	FASTQ	DNA	1456372	200979336	138	138.0	138
ALA-VU50-2892527.FASTQ.gz	FASTQ	DNA	1316782	181715916	138	138.0	138
ALA-VU51-2892500.FASTQ.gz	FASTQ	DNA	1511075	208528350	138	138.0	138
ALA-VU53-2892376.FASTQ.gz	FASTQ	DNA	1381176	190602288	138	138.0	138
ALA-VU53-2892566.FASTQ.gz	FASTQ	DNA	1045270	144247260	138	138.0	138
ALA-VU62-2892417.FASTQ.gz	FASTQ	DNA	1365588	188451144	138	138.0	138
APO-BD304-2892487.FASTQ.gz	FASTQ	DNA	1352700	186672600	138	138.0	138
APO-BD304-2892582.FASTQ.gz	FASTQ	DNA	1169889	161444682	138	138.0	138
APO-BD320-2892516.FASTQ.gz	FASTQ	DNA	1551140	214057320	138	138.0	138
APO-BD325-2892538.FASTQ.gz	FASTQ	DNA	1510822	208493436	138	138.0	138
APO-BD326-2892550.FASTQ.gz	FASTQ	DNA	1493634	206121492	138	138.0	138
APO-BD326-2894761.FASTQ.gz	FASTQ	DNA	1315220	181500360	138	138.0	138
APO-BD330-2892535.FASTQ.gz	FASTQ	DNA	1437426	198364788	138	138.0	138
APO-BD331-2892519.FASTQ.gz	FASTQ	DNA	1293387	178487406	138	138.0	138
APO-BD337-2892483.FASTQ.gz	FASTQ	DNA	1511137	208536906	138	138.0	138
APO-BD338-2892540.FASTQ.gz	FASTQ	DNA	1402048	193482624	138	138.0	138
